ch_index	index	x	y
0	0	0.717473	0.696586
0	23	0.34881	0.937194
0	2	-0.127518	-0.991836
0	3	-0.488159	0.872755
0	4	-0.98968	0.143298
0	5	-0.899859	-0.436181
0	31	-0.861008	-0.508592
0	7	0.857503	0.514478
0	8	-0.556778	-0.830661
0	9	0.828785	-0.559567
0	10	-0.69137	0.722501
0	11	0.517489	-0.85569
0	12	0.162934	-0.986637
0	13	0.991194	0.132421
0	14	0.490951	0.871187
0	15	-0.898197	-0.439593
0	16	-0.182645	0.983179
0	25	0.0379884	-0.999278
0	18	0.994097	0.108496
0	19	-0.866511	-0.499159
0	20	0.918643	0.395088
0	21	0.029236	-0.999573
0	22	0.105631	0.994405
0	1	0.482205	0.876058
0	24	-0.999094	0.0425475
0	17	-0.958776	-0.284163
0	26	-0.991421	0.130705
0	27	-0.99935	0.0360596
0	28	-0.0495759	0.99877
0	29	0.067379	0.997727
0	30	-0.98434	0.176281
0	6	-0.278816	-0.960344
0	32	-0.742544	-0.669797
0	33	-0.874885	-0.48433
0	0	0.717473	0.696586
1	0	0.717473	0.696586
1	27	-0.99935	0.0360596
1	5	-0.899859	-0.436181
1	3	-0.488159	0.872755
1	24	-0.999094	0.0425475
1	15	-0.898197	-0.439593
1	6	-0.278816	-0.960344
1	7	0.857503	0.514478
1	26	-0.991421	0.130705
1	10	-0.69137	0.722501
1	9	0.828785	-0.559567
1	11	0.517489	-0.85569
1	12	0.162934	-0.986637
1	13	0.991194	0.132421
1	22	0.105631	0.994405
1	2	-0.127518	-0.991836
1	16	-0.182645	0.983179
1	17	-0.958776	-0.284163
1	18	0.994097	0.108496
1	19	-0.866511	-0.499159
1	28	-0.0495759	0.99877
1	21	0.029236	-0.999573
1	8	-0.556778	-0.830661
1	23	0.34881	0.937194
1	4	-0.98968	0.143298
1	25	0.0379884	-0.999278
1	33	-0.874885	-0.48433
1	1	0.482205	0.876058
1	20	0.918643	0.395088
1	29	0.067379	0.997727
1	30	-0.98434	0.176281
1	32	-0.742544	-0.669797
1	31	-0.861008	-0.508592
1	14	0.490951	0.871187
1	0	0.717473	0.696586
2	0	0.717473	0.696586
2	25	0.0379884	-0.999278
2	2	-0.127518	-0.991836
2	14	0.490951	0.871187
2	8	-0.556778	-0.830661
2	1	0.482205	0.876058
2	23	0.34881	0.937194
2	22	0.105631	0.994405
2	30	-0.98434	0.176281
2	19	-0.866511	-0.499159
2	4	-0.98968	0.143298
2	33	-0.874885	-0.48433
2	15	-0.898197	-0.439593
2	13	0.991194	0.132421
2	3	-0.488159	0.872755
2	12	0.162934	-0.986637
2	10	-0.69137	0.722501
2	17	-0.958776	-0.284163
2	20	0.918643	0.395088
2	9	0.828785	-0.559567
2	18	0.994097	0.108496
2	21	0.029236	-0.999573
2	7	0.857503	0.514478
2	6	-0.278816	-0.960344
2	29	0.067379	0.997727
2	28	-0.0495759	0.99877
2	26	-0.991421	0.130705
2	27	-0.99935	0.0360596
2	16	-0.182645	0.983179
2	24	-0.999094	0.0425475
2	32	-0.742544	-0.669797
2	5	-0.899859	-0.436181
2	31	-0.861008	-0.508592
2	11	0.517489	-0.85569
2	0	0.717473	0.696586
3	0	0.717473	0.696586
3	26	-0.991421	0.130705
3	20	0.918643	0.395088
3	19	-0.866511	-0.499159
3	4	-0.98968	0.143298
3	25	0.0379884	-0.999278
3	6	-0.278816	-0.960344
3	7	0.857503	0.514478
3	17	-0.958776	-0.284163
3	28	-0.0495759	0.99877
3	10	-0.69137	0.722501
3	11	0.517489	-0.85569
3	1	0.482205	0.876058
3	13	0.991194	0.132421
3	14	0.490951	0.871187
3	15	-0.898197	-0.439593
3	16	-0.182645	0.983179
3	8	-0.556778	-0.830661
3	18	0.994097	0.108496
3	3	-0.488159	0.872755
3	21	0.029236	-0.999573
3	2	-0.127518	-0.991836
3	22	0.105631	0.994405
3	23	0.34881	0.937194
3	32	-0.742544	-0.669797
3	5	-0.899859	-0.436181
3	12	0.162934	-0.986637
3	27	-0.99935	0.0360596
3	29	0.067379	0.997727
3	9	0.828785	-0.559567
3	30	-0.98434	0.176281
3	31	-0.861008	-0.508592
3	24	-0.999094	0.0425475
3	33	-0.874885	-0.48433
3	0	0.717473	0.696586
4	0	0.717473	0.696586
4	7	0.857503	0.514478
4	30	-0.98434	0.176281
4	33	-0.874885	-0.48433
4	13	0.991194	0.132421
4	15	-0.898197	-0.439593
4	6	-0.278816	-0.960344
4	22	0.105631	0.994405
4	8	-0.556778	-0.830661
4	23	0.34881	0.937194
4	5	-0.899859	-0.436181
4	11	0.517489	-0.85569
4	31	-0.861008	-0.508592
4	1	0.482205	0.876058
4	10	-0.69137	0.722501
4	17	-0.958776	-0.284163
4	16	-0.182645	0.983179
4	9	0.828785	-0.559567
4	18	0.994097	0.108496
4	20	0.918643	0.395088
4	25	0.0379884	-0.999278
4	12	0.162934	-0.986637
4	21	0.029236	-0.999573
4	28	-0.0495759	0.99877
4	32	-0.742544	-0.669797
4	24	-0.999094	0.0425475
4	3	-0.488159	0.872755
4	14	0.490951	0.871187
4	2	-0.127518	-0.991836
4	29	0.067379	0.997727
4	4	-0.98968	0.143298
4	27	-0.99935	0.0360596
4	19	-0.866511	-0.499159
4	26	-0.991421	0.130705
4	0	0.717473	0.696586
5	0	0.717473	0.696586
5	25	0.0379884	-0.999278
5	7	0.857503	0.514478
5	14	0.490951	0.871187
5	3	-0.488159	0.872755
5	31	-0.861008	-0.508592
5	8	-0.556778	-0.830661
5	1	0.482205	0.876058
5	22	0.105631	0.994405
5	32	-0.742544	-0.669797
5	13	0.991194	0.132421
5	15	-0.898197	-0.439593
5	29	0.067379	0.997727
5	27	-0.99935	0.0360596
5	28	-0.0495759	0.99877
5	2	-0.127518	-0.991836
5	12	0.162934	-0.986637
5	16	-0.182645	0.983179
5	20	0.918643	0.395088
5	17	-0.958776	-0.284163
5	18	0.994097	0.108496
5	5	-0.899859	-0.436181
5	21	0.029236	-0.999573
5	23	0.34881	0.937194
5	24	-0.999094	0.0425475
5	4	-0.98968	0.143298
5	26	-0.991421	0.130705
5	9	0.828785	-0.559567
5	30	-0.98434	0.176281
5	11	0.517489	-0.85569
5	19	-0.866511	-0.499159
5	6	-0.278816	-0.960344
5	10	-0.69137	0.722501
5	33	-0.874885	-0.48433
5	0	0.717473	0.696586
6	0	0.717473	0.696586
6	19	-0.866511	-0.499159
6	2	-0.127518	-0.991836
6	7	0.857503	0.514478
6	25	0.0379884	-0.999278
6	17	-0.958776	-0.284163
6	18	0.994097	0.108496
